"Angle",3300,3350,3400,3450,3500,3550,3575,3600,3625,3650,3675,3700,3750,3800
38,-69.697,-68.864,-69.344,-66.012,-70.671,-67.713,-69.179,-73.576,-69.731,-64.544,-64.66,-66.151,-68.251,-113.311
39,-69.762,-67.475,-68.772,-65.163,-68.033,-68.238,-70.852,-72.793,-67.923,-64.115,-63.285,-64.143,-66.33,-89.161
40,-68.882,-68.096,-68.701,-66.03,-70.661,-66.919,-65.765,-74.299,-71.544,-64.191,-62.55,-64.111,-65.896,-70.875
41,-66.349,-66.699,-65.061,-65.452,-70.609,-65.455,-65.691,-72.87,-68.894,-61.99,-61.308,-63.264,-63.974,-68.748
42,-65.486,-64.518,-65.189,-64.846,-72.34,-65.962,-66.824,-73.15,-68.093,-61.421,-60.532,-62.588,-63.391,-65.301
43,-65.364,-63.744,-65.465,-63.013,-71.35,-66.117,-66.028,-73.463,-66.955,-61.804,-60.081,-62.427,-61.636,-64.449
44,-64.886,-65.528,-64.479,-63.496,-72.283,-64.83,-66.462,-70.183,-65.594,-61.052,-59.961,-62.052,-61.827,-63.737
45,-63.45,-63.45,-64.708,-63.944,-72.716,-64.65,-66.532,-69.518,-63.816,-59.489,-59.695,-61.88,-61.168,-63.085
46,-63.011,-64.785,-64.703,-64.357,-70.709,-66.188,-65.031,-67.959,-62.238,-59.852,-59.836,-61.646,-60.572,-62.134
47,-62.193,-67.474,-64.746,-65.148,-68.08,-65.327,-65.554,-66.28,-61.613,-59.362,-59.18,-62.154,-59.793,-62.19
48,-62.647,-65.508,-64.626,-64.053,-68.852,-65.854,-64.379,-65.058,-60.156,-59.12,-59.893,-61.169,-60.259,-62.76
49,-62.317,-67.73,-65.333,-64.774,-68.285,-65.571,-63.831,-62.751,-59.876,-59.951,-59.918,-61.499,-60.588,-62.066
50,-63.876,-65.445,-65.429,-63.399,-68.866,-65.882,-62.804,-62.908,-59.827,-58.669,-59.619,-61.398,-60.955,-63.848
51,-64.581,-65.698,-65.247,-63.993,-69.881,-64.829,-62.846,-61.764,-59.773,-59.742,-59.506,-62.358,-61.099,-64.02
52,-64.946,-67.236,-64.072,-63.503,-71.452,-64.237,-62.658,-60.552,-58.811,-59.716,-60.097,-61.817,-61.331,-65.271
53,-66.046,-65.402,-63.79,-63.289,-71.112,-63.698,-61.184,-60.45,-59.072,-59.762,-59.803,-62.383,-62.945,-65.348
54,-64.541,-65.396,-62.515,-62.106,-70.387,-62.356,-61.882,-60.695,-58.805,-60.668,-60.692,-63.079,-62.597,-65.945
55,-65.355,-62.938,-63.289,-61.58,-68.921,-62.992,-62.211,-60.105,-58.792,-60.382,-60.719,-62.5,-62.312,-64.736
56,-64.197,-64.58,-62.58,-61.114,-70.627,-61.477,-61.392,-61.006,-58.428,-59.8,-61.201,-63.917,-62.106,-63.797
57,-63.761,-61.854,-62.182,-61.24,-69.105,-61.642,-61.061,-60.675,-57.916,-58.762,-60.734,-62.839,-62.145,-63.661
58,-62.493,-61.755,-61.718,-60.067,-68.447,-61.551,-60.247,-60.206,-58.05,-60.471,-60.013,-62.226,-61.218,-62.379
59,-62.119,-61.83,-61.441,-60.789,-69.925,-60.815,-61.683,-60.764,-57.702,-60.355,-59.362,-62.313,-62.143,-62.636
60,-60.596,-61.327,-60.543,-60.424,-70.161,-61.367,-59.961,-59.975,-57.481,-59.762,-59.246,-61.159,-60.862,-62.236
61,-59.995,-60.674,-60.125,-60.449,-68.176,-60.336,-59.872,-59.378,-57.181,-59.61,-58.604,-60.921,-60.991,-62.274
62,-59.586,-59.315,-59.309,-60.4,-66.498,-60.741,-60.751,-58.875,-56.691,-59.353,-58.111,-59.596,-61.058,-61.455
63,-59.276,-59.169,-59.176,-61.208,-66.945,-59.983,-59.5,-58.518,-55.964,-58.631,-57.946,-59.906,-60.985,-62.001
64,-58.512,-58.852,-58.559,-60.276,-64.515,-59.439,-59.116,-58.031,-55.201,-57.617,-57.876,-59.763,-60.608,-62.616
65,-58.178,-58.711,-58.213,-60.196,-63.135,-59.478,-60.295,-57.915,-55.199,-57.976,-57.28,-59.447,-60.932,-61.772
66,-57.616,-56.655,-57.603,-59.564,-63.711,-58.479,-58.534,-56.93,-54.585,-58.113,-56.976,-59.424,-60.142,-61.644
67,-57.227,-57.339,-57.483,-59.883,-62.676,-57.98,-57.195,-56.784,-54.555,-57.582,-57.285,-59.168,-58.976,-62.02
68,-57.444,-56.54,-56.594,-59.224,-62.716,-57.336,-57.451,-55.655,-54.295,-57.604,-56.953,-58.926,-59.622,-62.285
69,-57.104,-55.584,-57.18,-58.395,-61.269,-56.657,-57.381,-55.535,-54.038,-56.857,-56.841,-59.463,-58.898,-61.856
70,-56.447,-55.461,-56.245,-58.711,-61.153,-56.243,-56.185,-55.599,-54.17,-57.377,-56.779,-58.902,-58.832,-61.72
71,-56.032,-55.34,-55.365,-57.198,-60.256,-55.746,-56.268,-55.614,-53.938,-56.622,-56.776,-58.559,-57.908,-61.077
72,-55.48,-54.448,-55.442,-57.345,-60.784,-55.43,-55.716,-55.967,-54.211,-56.452,-57.132,-57.904,-58.771,-61.682
73,-55.238,-54.193,-54.946,-56.256,-59.898,-55.486,-56.477,-55.379,-54.223,-56.004,-56.239,-57.831,-58.704,-61.202
74,-54.834,-52.943,-54.731,-55.95,-58.526,-55.212,-55.652,-55.498,-53.988,-56.612,-55.98,-57.8,-58.488,-63.225
75,-53.883,-53.609,-53.848,-56.082,-57.817,-54.886,-55.245,-55.077,-53.677,-55.506,-55.671,-58.025,-59.166,-62.347
76,-53.658,-52.786,-53.368,-55.615,-57.877,-54.659,-55.451,-54.926,-53.321,-55.234,-55.734,-57.877,-59.444,-62.499
77,-52.992,-52.324,-53.092,-54.815,-57.653,-54.491,-54.979,-54.995,-53.026,-55.967,-55.775,-58.34,-59.303,-62.509
78,-52.16,-51.815,-52.777,-54.752,-56.966,-54.499,-54.381,-54.672,-52.932,-56.174,-55.513,-58.831,-60.045,-62.517
79,-51.888,-50.895,-52.55,-54.883,-56.984,-54.173,-54.764,-53.833,-52.364,-55.74,-55.419,-58.193,-59.482,-61.867
80,-50.882,-51.245,-52.1,-54.361,-56.799,-53.95,-54.535,-53.888,-52.186,-54.909,-55.557,-58.353,-58.569,-61.402
81,-50.366,-50.771,-52.101,-53.987,-56.718,-53.466,-54.922,-53.434,-51.71,-56.264,-55.242,-57.572,-58.419,-59.934
82,-50.138,-50.019,-51.636,-53.597,-55.893,-53.578,-54.712,-52.889,-51.477,-55.395,-55.246,-57.3,-57.498,-59.373
83,-49.827,-49.59,-51.465,-52.939,-55.695,-53.02,-54.056,-52.582,-51.321,-55.071,-55.019,-56.999,-57.033,-58.213
84,-49.612,-48.963,-50.995,-52.315,-54.96,-52.813,-53.257,-52.461,-51.07,-54.849,-54.435,-56.581,-55.947,-57.7
85,-49.184,-48.492,-50.588,-51.805,-54.613,-52.303,-52.597,-51.881,-50.902,-54.354,-54.445,-56.327,-55.101,-57.512
86,-48.873,-48.666,-50.057,-51.099,-54.069,-52.034,-52.211,-51.438,-50.563,-53.453,-53.886,-55.49,-54.958,-56.612
